Model,Accuracy,Precision,Recall,F1
Random Forest,0.890909091,0.95,0.791666667,0.863636364
RF + RFECV,0.890909091,0.95,0.791666667,0.863636364
Decision Tree,0.854545455,0.863636364,0.791666667,0.826086957
LR + RFECV,0.854545455,0.863636364,0.791666667,0.826086957
DT + RFECV with RF scout,0.854545455,0.863636364,0.791666667,0.826086957
KNN + RFECV with RF scout,0.854545455,0.863636364,0.791666667,0.826086957
XGB + RFECV,0.854545455,0.863636364,0.791666667,0.826086957
Logistic Regression,0.836363636,0.826086957,0.791666667,0.808510638
XGBoost,0.836363636,0.826086957,0.791666667,0.808510638
SVM,0.818181818,0.791666667,0.791666667,0.791666667
SVM + RFECV,0.818181818,0.791666667,0.791666667,0.791666667
KNN,0.818181818,0.818181818,0.75,0.782608696
DT + RFECV,0.690909091,0.62962963,0.708333333,0.666666667
